pair,side,time_diff,price_diff
EURUSD,buy,5.594096660614014,-9.999999999843467e-06
USDJPY,buy,6.110310792922974,0.0
USDJPY,sell,6.027637720108032,0.0010000000000047
EURUSD,sell,4.740327119827271,4.999999999988347e-05
EURUSD,buy,4.551894664764404,-5.000000000010552e-05
USDJPY,sell,5.601612329483032,-0.0019999999999811
EURUSD,buy,4.519188642501831,-1.0000000000065512e-05
USDJPY,buy,5.505591630935669,-0.0099999999999909
USDJPY,sell,5.434900522232056,0.0
EURUSD,sell,4.394680023193359,0.0
USDJPY,buy,8.60387372970581,0.0
EURUSD,sell,6.447000503540039,2.0000000000131024e-05
EURUSD,buy,5.624160528182983,-2.999999999997449e-05
USDJPY,sell,6.497667074203491,0.0029999999999859
USDJPY,sell,5.463431596755981,0.0
EURUSD,sell,5.559330463409424,-1.0000000000065512e-05
EURUSD,buy,5.73226809501648,0.0
EURUSD,buy,4.374407052993774,-2.0000000000131024e-05
EURUSD,buy,5.583126783370972,2.0000000000131024e-05
USDJPY,sell,7.577038764953613,-0.0010000000000047
EURUSD,sell,5.643436431884766,0.0
EURUSD,sell,4.4828269481658936,0.0
USDJPY,buy,4.420228719711304,0.0010000000000047
USDJPY,sell,6.523667573928833,0.0029999999999859
USDJPY,buy,4.64341402053833,0.0
EURUSD,sell,4.810895919799805,-9.999999999843467e-06
EURUSD,buy,6.516225576400757,-1.0000000000065512e-05
EURUSD,buy,6.499301195144653,0.0
EURUSD,sell,7.527538776397705,0.0
EURUSD,sell,5.456780195236206,0.0
EURUSD,buy,4.343876838684082,4.000000000004e-05
EURUSD,sell,6.507916927337647,1.0000000000065512e-05
USDJPY,sell,4.507792711257935,-0.0030000000000143
USDJPY,sell,5.383146286010742,0.0
USDJPY,sell,5.357894420623779,-0.0019999999999811
USDJPY,buy,5.907052516937256,0.004000000000019
EURUSD,buy,4.40822172164917,1.0000000000065512e-05
EURUSD,sell,4.2833411693573,1.0000000000065512e-05
EURUSD,sell,5.364461660385132,0.0
USDJPY,buy,5.508625507354736,0.0
USDJPY,sell,5.442710161209106,0.0010000000000047
EURUSD,buy,4.47061014175415,2.999999999997449e-05
USDJPY,sell,4.450516700744629,0.0
USDJPY,sell,4.413385629653931,0.0069999999999765
USDJPY,buy,6.452243089675903,-0.0069999999999765
EURUSD,buy,4.4949822425842285,-1.999999999990898e-05
USDJPY,sell,4.3479323387146,0.0
USDJPY,buy,4.370283365249634,0.0010000000000047
EURUSD,sell,6.58811092376709,1.0000000000065512e-05
EURUSD,sell,6.357311487197876,-5.000000000010552e-05
USDJPY,sell,4.358946323394775,0.0
USDJPY,buy,4.439370393753052,0.0030000000000143
EURUSD,buy,4.326058864593506,-1.0000000000065512e-05
EURUSD,buy,5.367733955383301,4.000000000004e-05
USDJPY,buy,6.554885149002075,-0.0049999999999954
EURUSD,sell,5.436244010925293,0.0
EURUSD,sell,5.453395843505859,1.0000000000065512e-05
EURUSD,sell,4.248369216918945,-1.0000000000065512e-05
EURUSD,buy,5.514168977737427,0.0
USDJPY,buy,5.506142616271973,0.0200000000000102
USDJPY,sell,5.319078207015991,-0.0090000000000145
USDJPY,buy,6.397403001785278,-0.0010000000000047
EURUSD,sell,8.81990361213684,1.0000000000065512e-05
USDJPY,buy,6.605326175689697,-0.0030000000000143
EURUSD,sell,7.631493091583252,1.0000000000065512e-05
EURUSD,sell,9.921627044677734,0.0
EURUSD,buy,4.355991840362549,0.0
EURUSD,buy,5.384498596191406,9.999999999843467e-06
EURUSD,buy,5.30795431137085,2.0000000000131024e-05
EURUSD,sell,5.31879997253418,1.0000000000065512e-05
USDJPY,sell,4.404581546783447,0.0060000000000002
EURUSD,buy,4.322460889816284,0.0
USDJPY,sell,4.462230443954468,0.0010000000000047
