0,1,2,3
EURUSD,sell,12.632169485092163,8.999999999992347e-05
EURUSD,buy,5.533833742141724,1.999999999990898e-05
USDJPY,buy,6.594942331314087,0.0010000000000047748
EURUSD,buy,5.651207447052002,0.0
USDJPY,buy,6.117316007614136,0.0010000000000047748
EURUSD,buy,6.489963531494141,-5.0000000000105516e-05
EURUSD,buy,4.476673126220703,4.0000000000040004e-05
EURUSD,buy,4.468849182128906,-5.0000000000105516e-05
EURUSD,sell,5.5848681926727295,4.0000000000040004e-05
EURUSD,sell,5.6069560050964355,2.999999999997449e-05
EURUSD,buy,4.898573160171509,1.0000000000065512e-05
EURUSD,sell,4.526005744934082,-7.00000000000145e-05
EURUSD,sell,7.141232013702393,-0.00017000000000000348
EURUSD,buy,4.487664222717285,7.00000000000145e-05
EURUSD,buy,5.525684356689453,2.999999999997449e-05
USDJPY,buy,4.6551125049591064,-0.0009999999999763531
EURUSD,sell,4.956176519393921,2.999999999997449e-05
EURUSD,sell,7.243816614151001,2.999999999997449e-05
EURUSD,sell,7.981074571609497,-0.000140000000000029
USDJPY,sell,6.346464395523071,0.0
EURUSD,buy,6.214937448501587,-5.0000000000105516e-05
USDJPY,sell,5.137645244598389,0.0
USDJPY,buy,7.257396936416626,0.001999999999981128
EURUSD,buy,6.374437093734741,-5.999999999994898e-05
USDJPY,sell,7.087656259536743,0.0030000000000143245
EURUSD,buy,5.116137266159058,0.0
USDJPY,sell,6.226820945739746,-0.002999999999985903
USDJPY,sell,8.895396709442139,-0.01099999999999568
USDJPY,buy,7.837579011917114,0.0
USDJPY,buy,8.091132402420044,-0.0049999999999954525
